ctrl-1_FRAS202101646-1r_aligned.sam	ctrl-2_FRAS202101647-1r_aligned.sam	ctrl-3_FRAS202101648-1r_aligned.sam	ctrl-4_FRAS202101649-1r_aligned.sam	AKG-1_FRAS202101650-1r_aligned.sam	AKG-2_FRAS202101651-1r_aligned.sam	AKG-3_FRAS202101652-1r_aligned.sam	AKG-4_FRAS202101653-1r_aligned.sam	Pyr-1_FRAS202101654-1r_aligned.sam	Pyr-2_FRAS202101655-1r_aligned.sam	Pyr-3_FRAS202101656-1r_aligned.sam	Pyr-4_FRAS202101657-1r_aligned.sam	Length
ENSG00000223823	0	0	0	0	0	0	0	0	0	0	3	0	1620
ENSG00000207730	0	0	0	0	0	0	0	0	0	0	0	0	111
ENSG00000207607	0	0	0	0	0	0	0	0	0	0	0	0	111
ENSG00000198976	0	0	0	0	0	0	0	0	0	0	0	0	83
ENSG00000272141	0	0	0	0	0	0	0	0	0	0	0	0	987
ENSG00000205231	0	0	0	0	0	0	0	0	0	0	0	0	3532
ENSG00000162571	2	0	0	0	0	0	0	1	3	0	0	0	3943
ENSG00000186891	0	0	0	2	0	0	2	1	0	2	0	0	1370
ENSG00000186827	0	6	0	0	0	0	2	2	1	1	0	3	1721
ENSG00000078808	2261	2132	2286	2232	1968	2167	2139	2118	2239	2276	3719	4201	4709
ENSG00000176022	476	482	534	486	411	497	523	503	482	435	734	815	2777
ENSG00000184163	10	12	8	19	11	12	21	14	20	12	39	47	1794
ENSG00000260179	4	5	5	4	9	3	9	12	7	8	9	13	1558
ENSG00000160087	1395	1414	1535	1512	1163	1301	1448	1288	1483	1304	2379	2518	4712
ENSG00000230415	1	4	6	1	4	4	7	8	4	1	3	5	513
ENSG00000162572	21	18	15	11	19	26	26	25	19	19	27	38	4025
ENSG00000131584	972	977	1119	1162	940	1152	1278	1079	1045	915	1874	2120	8809
ENSG00000278073	0	0	0	0	0	0	0	0	0	0	0	0	61
ENSG00000169972	369	417	486	476	290	432	456	417	494	277	785	850	2489
ENSG00000127054	2085	1862	2084	2128	1781	1999	2018	2033	2102	1968	3501	3824	8220
ENSG00000274153	0	0	0	0	0	0	0	0	0	0	0	0	65
ENSG00000240731	96	87	91	65	68	62	110	97	99	74	92	122	386
ENSG00000224051	336	384	391	489	306	369	443	407	385	333	756	894	2556
ENSG00000169962	11	19	8	13	5	8	18	7	8	9	10	23	3433
ENSG00000107404	1132	1154	1270	1455	1076	1407	1500	1261	1489	1269	3026	3484	3814
ENSG00000275884	0	0	0	0	0	0	0	0	0	0	0	0	59
ENSG00000162576	153	188	201	230	180	269	318	246	204	151	449	525	3622
ENSG00000175756	685	880	845	1153	534	846	1167	880	1152	834	3648	3843	1669
ENSG00000223663	1	0	0	1	0	1	2	0	3	2	2	1	367
ENSG00000221978	4469	3799	4367	4290	4077	4057	4239	4094	4239	3968	4935	5206	6850
ENSG00000224870	389	353	464	450	336	416	391	376	383	398	849	920	2525
ENSG00000242485	1866	1496	1662	1692	1460	1615	1509	1605	1634	2101	2331	2292	2788
ENSG00000264293	0	0	0	0	0	0	0	0	0	0	0	0	293
ENSG00000272455	199	163	180	207	177	181	219	184	183	208	303	324	1523
ENSG00000235098	0	0	0	0	1	0	0	0	0	0	0	0	2644
ENSG00000225905	0	0	0	0	0	0	0	0	0	0	0	0	543
ENSG00000205116	0	2	0	0	0	1	0	1	0	0	0	0	492
ENSG00000225285	1	1	0	0	2	5	6	6	4	0	5	11	851
ENSG00000179403	51	56	40	51	70	100	115	100	62	45	130	135	5065
ENSG00000215915	0	1	5	0	0	1	3	0	2	0	4	7	3976
ENSG00000160072	2112	2069	2327	2216	1636	1958	2176	1952	2326	2167	3780	4431	7682
ENSG00000197785	1919	1993	2112	2374	1499	1963	2266	1831	2499	2057	4368	4899	3069
ENSG00000205090	11	8	8	6	7	11	5	9	5	7	43	31	1380
ENSG00000160075	4171	3756	4473	3818	3587	3536	3816	3808	4063	4150	4824	5245	6925
ENSG00000215014	33	24	49	23	20	24	27	18	19	20	45	51	2101
ENSG00000279244	0	0	0	0	0	0	0	0	1	0	0	0	276
ENSG00000274481	0	0	0	0	0	0	0	0	0	0	0	0	400
ENSG00000280747	0	0	0	0	0	0	0	0	0	0	0	0	286
ENSG00000228594	74	74	54	78	70	89	123	87	78	56	197	185	2085
ENSG00000272106	92	93	120	106	85	111	111	96	111	81	133	142	2038
ENSG00000197530	252	284	337	321	268	318	344	303	259	251	462	574	8767
ENSG00000189409	0	0	0	2	0	1	2	0	2	3	2	1	2714
ENSG00000248333	907	771	921	814	763	774	873	731	881	838	1358	1552	3488
ENSG00000272004	0	1	7	4	0	2	4	2	0	1	0	2	400
ENSG00000189339	1993	1735	2187	1739	1740	1765	1798	1694	1456	1595	2125	2396	8395
ENSG00000269737	71	82	107	80	74	64	72	85	84	72	86	121	1422
ENSG00000269227	55	47	47	44	55	34	32	36	40	41	22	24	502
ENSG00000215914	0	0	2	0	2	0	0	0	0	0	0	0	1017
ENSG00000008128	32	32	28	33	26	21	47	34	47	19	99	105	4701
ENSG00000268575	57	37	66	39	52	47	61	46	34	44	65	34	5079
ENSG00000227775	216	150	202	150	171	134	144	98	133	155	188	248	2759
ENSG00000215790	120	103	141	110	112	106	110	109	119	95	136	195	3264
ENSG00000008130	2567	2258	2668	2306	2204	2405	2400	2411	2240	2159	2819	3340	5570
ENSG00000078369	7242	6123	6923	6171	6127	6142	6298	6191	6397	6743	7115	7805	6417
ENSG00000231050	3	1	0	0	0	0	3	0	5	1	8	6	906
ENSG00000169885	1	0	0	0	1	1	1	0	0	3	0	0	2321
ENSG00000178821	86	61	90	81	67	119	116	87	101	61	181	204	1594
ENSG00000142609	0	0	0	3	0	2	0	0	0	0	0	1	10422
ENSG00000233542	0	0	0	0	0	0	0	0	0	0	0	0	1954
ENSG00000187730	0	0	0	0	0	0	0	0	0	0	0	0	1928
ENSG00000226969	0	0	0	0	0	0	0	0	0	0	0	0	538
ENSG00000067606	3	3	5	3	13	6	17	8	11	7	10	16	7636
ENSG00000271806	0	1	0	0	0	0	0	0	0	1	1	0	4196
ENSG00000182873	31	31	22	20	25	24	26	25	19	15	32	27	1734
ENSG00000162585	629	629	770	828	596	701	888	663	695	557	1272	1536	10916
ENSG00000234396	0	0	0	0	0	0	0	0	0	0	0	0	326
ENSG00000277082	0	0	0	0	0	0	0	0	0	0	0	0	74
ENSG00000157933	1851	1838	2027	1883	1640	1931	1833	1829	1977	1835	2601	2914	6080
ENSG00000116151	33	39	63	46	34	50	63	49	28	49	84	110	11337
ENSG00000272161	0	1	0	0	0	0	0	0	0	0	0	0	493
ENSG00000269896	1	3	2	1	2	0	0	2	2	3	1	2	2407
ENSG00000272420	2	1	0	3	1	1	6	2	0	4	3	4	568
ENSG00000157916	2861	2349	2652	2332	2388	2263	2111	2240	2317	2567	2865	3113	5691
ENSG00000157911	162	174	152	153	138	132	141	146	137	133	219	254	3789
ENSG00000149527	0	0	2	2	0	0	0	0	1	1	3	1	10781
ENSG00000224387	0	0	3	0	0	0	0	0	0	0	0	0	455
ENSG00000229393	0	0	0	0	0	0	0	0	2	0	0	0	514
ENSG00000157881	909	720	881	726	649	755	749	756	824	795	1061	1138	5107
ENSG00000197921	0	0	0	0	0	0	0	0	0	0	0	0	1306
ENSG00000272449	11	11	11	8	9	12	10	8	11	3	26	33	996
ENSG00000238164	2	0	0	0	5	1	1	2	0	1	0	3	6137
ENSG00000157873	2	6	4	16	6	15	6	9	9	4	10	11	6219
ENSG00000225931	0	0	0	1	0	0	0	0	0	0	0	0	1297
ENSG00000228037	0	0	0	0	0	2	0	2	0	1	7	1	626
ENSG00000157870	178	215	254	254	254	289	313	261	284	194	486	592	3371
ENSG00000142606	0	0	0	0	0	0	0	0	0	0	0	0	3844
ENSG00000237058	0	0	0	0	0	0	0	0	0	0	0	0	373
ENSG00000215912	0	6	3	0	1	2	5	0	0	3	4	2	7257
ENSG00000233234	0	0	0	0	0	0	0	0	0	0	0	0	607
ENSG00000231630	0	0	0	0	0	1	0	0	0	0	0	0	429
ENSG00000169717	0	0	0	0	0	0	0	0	0	0	0	0	1421
ENSG00000177133	0	0	0	0	0	0	0	0	0	0	0	0	5600
ENSG00000142611	0	0	0	0	0	1	0	0	0	0	0	3	9767
ENSG00000226286	0	0	0	0	0	0	0	0	0	0	0	0	469
ENSG00000279839	0	0	0	0	0	0	0	0	0	0	0	0	2677
ENSG00000272235	0	0	0	0	0	0	0	0	0	0	0	0	3461
ENSG00000130762	15	7	1	7	4	8	4	3	4	5	7	9	5563
ENSG00000272088	0	0	0	0	0	0	0	0	0	0	0	0	382
ENSG00000162591	3	3	6	5	8	1	7	4	3	9	2	13	7039
ENSG00000207776	0	0	0	0	0	0	0	0	0	0	0	0	96
ENSG00000238260	1	0	1	0	1	2	2	3	0	1	2	0	622
ENSG00000158109	245	188	213	169	244	214	234	262	205	223	258	294	2414
ENSG00000116213	637	549	610	505	560	532	589	518	535	516	685	821	7604
ENSG00000078900	47	50	56	43	41	56	46	54	42	54	82	126	6763
ENSG00000227589	0	2	0	0	3	0	1	1	0	1	1	2	754
ENSG00000235131	2	0	0	0	1	0	0	2	0	0	1	0	351
ENSG00000227372	1312	1195	1407	1191	1185	1241	1155	1192	1191	1182	1703	1893	7205
ENSG00000276189	0	0	0	0	0	0	0	0	0	0	0	0	161
ENSG00000162592	9	2	2	12	8	3	9	9	3	1	6	10	2318
ENSG00000235169	104	145	138	175	104	130	159	160	121	98	358	462	954
ENSG00000130764	2166	1884	2236	1927	1732	1704	1798	1676	1831	1747	2453	2814	4516
ENSG00000266075	7	5	7	7	7	6	5	10	11	7	17	18	297
ENSG00000272153	42	31	31	28	39	20	33	30	28	30	51	56	531
ENSG00000116198	1054	1009	1127	1089	902	921	908	1046	1084	1107	1150	1278	7876
ENSG00000169598	319	294	337	308	302	335	333	346	328	338	397	449	3870
ENSG00000198912	1019	845	1107	894	873	846	868	852	965	936	1051	1098	4388
ENSG00000236423	31	24	48	54	29	25	27	18	20	18	48	59	4064
ENSG00000233304	0	0	0	0	0	0	0	0	0	0	0	0	3894
ENSG00000226374	0	0	0	0	0	0	0	0	0	0	0	0	1852
ENSG00000229280	0	0	0	0	0	0	0	0	0	0	0	0	372
ENSG00000235054	0	0	0	0	0	0	0	0	0	0	0	0	2104
ENSG00000227169	0	0	0	0	0	0	0	0	0	0	0	0	356
ENSG00000232596	0	0	0	0	0	0	0	0	0	0	0	0	1994
ENSG00000196581	0	0	0	0	0	0	0	0	1	0	0	0	12405
ENSG00000277731	0	0	0	0	0	0	0	0	0	0	0	0	95
ENSG00000231510	0	0	0	0	0	0	0	0	0	0	0	0	449
ENSG00000260972	0	0	0	0	0	0	0	0	0	0	0	0	1697
ENSG00000264341	0	0	0	0	0	0	0	0	0	0	0	0	73
ENSG00000236948	0	0	0	0	0	0	0	0	0	0	0	0	363
ENSG00000216045	0	0	0	0	0	0	0	0	0	0	0	0	89
ENSG00000264101	0	0	0	0	0	0	0	0	0	0	3	0	70
ENSG00000131697	588	512	530	537	481	520	521	474	485	388	642	727	13167
ENSG00000266687	1	0	0	0	0	0	0	0	0	0	0	1	86
ENSG00000069424	127	126	139	162	160	197	244	189	150	125	313	340	9534
ENSG00000116254	5	3	2	3	1	4	4	0	2	5	11	11	9890
ENSG00000116251	5053	4496	5222	5114	4434	4770	5698	5253	5349	5879	9741	10086	4900
ENSG00000226944	33	48	48	60	28	48	35	41	43	27	49	69	378
ENSG00000158286	323	292	320	310	348	367	365	355	311	290	502	611	6585
ENSG00000116237	2785	2576	2993	2440	2505	2525	2307	2419	2572	2846	3079	3395	4910
ENSG00000225077	4	8	5	6	7	3	8	11	9	8	9	10	1685
ENSG00000173673	0	0	0	0	2	0	0	0	0	0	0	0	697
ENSG00000158292	22	31	43	26	24	42	40	43	23	18	59	59	4082
ENSG00000097021	934	911	933	919	817	827	994	851	937	899	1271	1400	4124
ENSG00000271746	0	0	0	0	0	0	0	0	0	0	0	0	837
ENSG00000069812	1	5	4	1	5	4	3	3	1	6	9	3	5407
ENSG00000187017	145	150	179	137	126	159	182	133	122	105	228	241	4651
ENSG00000265392	0	0	0	0	1	0	1	2	0	0	0	0	63
ENSG00000231868	1	5	5	0	0	7	2	5	0	2	2	7	351
ENSG00000215788	1	0	2	0	0	2	2	0	0	0	5	2	3918
ENSG00000171680	3	5	4	1	4	0	1	3	2	1	5	8	6920
ENSG00000162408	2553	2321	2831	2371	2036	1994	2111	2015	2076	2277	2480	2891	7293
ENSG00000253022	1	3	1	0	0	0	8	0	4	0	0	2	111
ENSG00000229519	25	10	12	17	16	13	8	22	13	16	9	14	401
ENSG00000173662	32	22	29	22	22	35	27	19	13	26	42	35	2892
ENSG00000204859	439	411	507	391	411	466	465	453	465	452	545	642	4503
ENSG00000162413	1696	1661	1857	1608	1267	1451	1460	1371	1563	1306	2158	2476	6901
ENSG00000116273	1411	1249	1405	1362	1187	1298	1329	1224	1426	1173	1786	1794	3681
ENSG00000041988	174	166	184	122	121	157	156	142	155	205	273	291	4072
ENSG00000007923	1480	1254	1397	1307	1170	1268	1241	1296	1370	1676	2196	2399	5083
ENSG00000228750	0	0	0	0	0	0	0	0	0	0	0	0	2188
ENSG00000237436	12	9	6	21	10	9	10	4	12	6	21	29	415
ENSG00000171735	518	425	481	508	479	549	489	494	473	560	490	516	10033
ENSG00000227950	0	0	0	0	0	0	0	0	0	0	0	0	286
ENSG00000237365	0	0	0	0	0	0	0	0	0	0	0	0	349
ENSG00000207056	1	0	0	0	0	0	0	0	0	0	0	0	165
ENSG00000280801	0	0	0	0	0	0	0	0	0	0	0	0	85
ENSG00000237402	0	0	0	0	0	0	0	0	0	0	0	0	365
ENSG00000237728	0	0	0	0	0	0	0	0	0	0	0	0	744
ENSG00000225126	0	0	0	0	0	0	0	0	0	0	0	0	361
ENSG00000270171	0	0	0	0	0	0	0	0	0	0	0	0	1721
ENSG00000270035	0	0	0	0	0	0	0	0	0	0	0	0	570
ENSG00000269978	0	1	0	0	0	0	0	0	0	0	0	0	267
ENSG00000049245	1852	1575	1805	1548	1501	1539	1566	1480	1608	1721	1257	1280	2760
ENSG00000269925	28	25	40	20	32	22	35	28	29	39	17	24	393
ENSG00000049246	998	883	1082	783	899	779	857	849	813	829	729	887	8099
ENSG00000236266	7	10	12	11	5	9	7	8	7	10	6	6	830
ENSG00000049247	0	0	0	1	0	0	1	0	0	1	0	1	1791
ENSG00000049249	4	3	3	7	1	6	1	3	8	1	2	4	6331
ENSG00000270330	0	0	0	0	0	0	0	0	0	0	0	0	355
ENSG00000116288	2849	2504	2751	2475	2676	2385	2444	2633	2632	3260	5123	5120	2397
ENSG00000200344	4	3	5	4	10	1	2	1	4	1	5	2	103
ENSG00000116285	31	15	46	37	57	45	37	49	37	52	35	42	4186
ENSG00000238290	0	0	0	0	0	0	0	0	0	0	3	0	2044
ENSG00000232848	0	0	0	0	0	0	0	0	0	0	0	0	800
ENSG00000229305	0	0	0	0	0	0	0	0	0	0	0	0	1075
ENSG00000227634	0	0	0	0	0	0	0	0	0	0	0	0	950
ENSG00000200975	0	0	0	0	0	0	0	0	0	0	0	0	164
ENSG00000233645	0	0	0	0	0	0	0	0	0	0	0	0	477
ENSG00000251977	0	0	0	0	0	0	0	0	0	0	0	0	107
ENSG00000162426	0	0	0	0	0	0	0	0	0	0	0	0	2888
ENSG00000252254	0	0	0	0	0	0	0	0	0	0	0	0	113
ENSG00000142599	1292	1179	1368	1309	1120	1266	1199	1195	1297	1238	1823	2160	11503
ENSG00000232912	3	1	4	1	0	0	1	0	4	0	0	2	702
ENSG00000221083	0	0	0	0	0	0	0	0	0	0	0	1	125
ENSG00000270282	0	0	2	0	4	2	2	0	0	1	1	0	369
ENSG00000280851	0	0	0	0	0	0	0	0	0	0	0	0	81
ENSG00000234619	0	0	0	3	0	0	1	3	3	1	1	0	658
ENSG00000224315	2	4	4	1	0	1	1	7	4	2	3	1	703
ENSG00000222511	1	1	2	0	0	0	1	0	1	1	1	2	103
ENSG00000226545	2	0	6	1	0	1	0	4	2	2	2	1	415
ENSG00000228423	0	0	0	3	0	3	2	2	3	2	2	1	353
ENSG00000229716	0	0	0	0	0	0	0	0	0	0	0	0	369
ENSG00000074800	43771	37928	41702	39878	35934	37457	37123	37688	40987	45003	55639	59404	3958
ENSG00000280816	8	14	11	8	19	14	10	12	7	9	17	27	259
ENSG00000274258	2	0	0	0	0	0	0	0	0	0	1	4	89
ENSG00000236269	12	5	10	9	2	12	8	7	5	9	10	17	744
ENSG00000230679	2	3	3	5	3	1	0	2	2	2	0	0	456
ENSG00000201725	0	0	1	0	0	0	0	0	0	0	0	0	107
ENSG00000238249	0	0	0	0	0	0	0	1	0	1	0	0	743
ENSG00000232208	0	0	0	0	0	0	0	0	0	1	0	0	352
ENSG00000232663	0	0	0	0	0	0	0	0	0	0	0	0	163
ENSG00000131686	0	0	0	0	0	0	0	0	0	0	0	0	2662
ENSG00000265141	0	0	0	0	0	0	0	0	0	0	0	0	299
ENSG00000197241	0	0	0	0	0	0	0	0	0	0	0	0	1539
ENSG00000142583	0	0	0	0	0	0	1	0	0	0	0	0	6693
ENSG00000252404	0	0	0	0	0	0	0	0	0	0	0	0	184
ENSG00000281506	0	0	0	0	0	0	0	0	0	0	0	0	78
ENSG00000180758	7	3	3	2	2	0	4	1	4	1	5	5	5372
ENSG00000228526	0	0	0	0	0	0	0	0	0	0	1	3	4571
ENSG00000207865	0	0	0	0	0	0	0	0	0	0	0	0	110
ENSG00000234546	0	0	0	0	0	0	0	0	0	0	0	0	1662
ENSG00000281937	0	0	0	0	0	0	0	0	0	0	0	0	1764
ENSG00000049239	68	67	57	104	42	71	70	79	59	48	94	79	9321
ENSG00000171621	2	2	0	0	2	0	5	1	2	0	0	5	3403
ENSG00000252956	0	0	0	0	0	0	0	0	0	0	0	0	110
ENSG00000235263	0	0	0	0	0	0	0	0	0	0	0	0	708
ENSG00000171612	1308	1117	1227	1016	1108	1018	1067	1096	1076	1247	1201	1259	3854
ENSG00000231181	13	11	22	23	11	22	19	14	10	14	20	13	559
ENSG00000188807	981	1037	1090	1111	800	965	978	958	1075	907	1613	1947	6966
ENSG00000171608	708	580	697	602	771	843	796	840	649	634	859	928	6332
ENSG00000179840	0	0	0	0	0	0	0	0	1	0	0	0	1823
ENSG00000233268	0	0	0	0	0	0	1	0	0	0	0	0	421
ENSG00000231789	69	43	65	54	62	66	73	68	64	45	103	86	939
ENSG00000171603	723	687	773	698	728	843	894	827	736	735	1134	1342	5559
ENSG00000271264	0	0	0	0	0	0	0	1	0	0	0	0	246
ENSG00000280113	0	0	0	0	0	0	0	0	0	0	0	0	649
ENSG00000178585	314	260	323	306	334	349	354	348	298	252	429	469	3339
ENSG00000223989	0	0	0	0	0	0	0	0	0	0	0	0	424
ENSG00000162441	1287	1170	1362	1119	990	994	1005	1044	1208	1226	1039	1096	2794
ENSG00000228150	9	11	10	13	5	6	0	10	10	5	6	10	440
ENSG00000173614	173	161	148	161	123	110	111	123	112	128	136	153	4610
ENSG00000202415	13	8	1	10	4	2	9	13	6	9	9	9	319
ENSG00000265521	1	0	1	2	0	1	4	0	1	0	0	0	78
ENSG00000241326	0	0	0	0	0	0	0	0	0	0	0	0	436
ENSG00000162444	0	0	0	0	0	0	0	0	0	0	0	0	861
ENSG00000130939	3331	3083	3640	2935	2665	2904	2927	2927	3198	3360	3240	3618	9128
ENSG00000224340	0	3	1	1	3	3	1	0	9	2	0	2	337
ENSG00000233623	3	2	6	5	6	5	8	3	7	2	6	8	680
ENSG00000201746	0	1	2	3	1	1	1	2	0	0	0	0	107
ENSG00000054523	1340	1221	1467	1198	1438	1433	1575	1462	1261	1207	1275	1453	17720
ENSG00000264881	0	0	0	0	0	1	0	0	0	0	0	0	86
ENSG00000199562	0	0	0	0	1	0	0	0	1	0	0	0	107
ENSG00000264501	0	0	0	0	0	0	0	0	0	0	0	0	293
ENSG00000142657	6795	5779	6383	5999	5502	5737	6100	6108	6031	6980	8687	9174	2966
ENSG00000271989	1	0	0	0	0	3	1	0	0	0	1	0	797
ENSG00000251503	4	1	1	1	4	3	3	1	3	1	1	1	2244
ENSG00000175279	33	25	32	37	33	18	30	21	24	26	46	45	1739
ENSG00000241563	0	2	6	5	1	0	2	1	4	1	5	3	1130
ENSG00000160049	1640	1398	1600	1485	1410	1467	1653	1418	1424	1549	1914	1914	6622
ENSG00000203469	0	0	0	0	0	0	0	0	0	0	0	0	467
ENSG00000142655	528	402	569	508	334	448	532	443	534	460	959	1021	2995
ENSG00000243267	1	3	0	4	1	6	2	9	2	0	3	0	280
ENSG00000130940	16	21	36	29	27	33	34	26	17	23	29	40	11336
ENSG00000272078	8	9	4	7	8	2	2	5	6	1	11	3	7923
ENSG00000225158	0	0	0	0	0	0	0	0	0	0	0	0	238
ENSG00000175262	0	0	0	0	0	0	0	0	0	1	0	0	3573
ENSG00000215785	0	0	0	0	0	0	0	0	0	0	0	0	494
ENSG00000264181	0	0	0	0	0	0	0	0	0	0	0	0	88
ENSG00000281322	0	0	0	0	0	0	0	0	0	0	0	0	84
ENSG00000120948	4370	3857	4463	3996	3627	3703	4060	3969	4301	4536	4411	4632	6071
ENSG00000277726	0	0	0	0	0	0	0	0	0	0	0	0	2205
ENSG00000009724	43	28	35	46	28	41	51	38	63	44	47	70	4251
ENSG00000271895	15	15	20	16	14	13	18	23	25	24	40	33	870
